Policy_ID,Device_Type,Brand,Retail_Price,Plan_Duration,Vendor,Region,Customer_Age,Sales_Channel,Claim_Made,Claim_Cost,Plan_Price,Age_Band
P000001,Phone,Google,449.67,36,John Lewis,South East,60,Online,0,0.0,36.06,56-65
P000002,Laptop,Lenovo,280.22,24,Argos,West Midlands,40,Online,0,0.0,31.04,36-45
P000003,Phone,Samsung,427.9,36,John Lewis,South East,41,In-store,0,0.0,37.98,36-45
P000004,Charger,Apple,207.98,12,John Lewis,West Midlands,47,Online,0,0.0,19.08,46-55
P000005,Charger,Anker,153.66,24,Currys,Scotland,29,Online,0,0.0,14.36,26-35
P000006,TV,LG,20.0,12,Amazon UK,West Midlands,45,In-store,1,20.0,5.65,36-45
P000007,Headphones,Bose,183.61,36,John Lewis,North West,68,Online,0,0.0,17.78,66+
P000008,Charger,Belkin,235.56,36,John Lewis,London,54,In-store,0,0.0,19.69,46-55
P000009,Tablet,Amazon,294.74,36,Currys,West Midlands,19,Marketplace,1,58.31,25.15,18-25
P000010,Refrigerator,Bosch,146.64,24,Currys,North West,31,Online,0,0.0,15.25,26-35
P000011,TV,Sony,256.61,24,John Lewis,Wales,23,Online,0,0.0,20.85,18-25
P000012,Charger,Apple,153.85,24,John Lewis,West Midlands,35,Online,1,47.18,17.98,26-35
P000013,Laptop,HP,417.14,12,AO.com,London,25,In-store,0,0.0,35.89,18-25
P000014,Refrigerator,Samsung,202.55,24,AO.com,North West,38,Online,0,0.0,21.5,36-45
P000015,Charger,Anker,146.19,24,Argos,South East,43,Marketplace,1,21.78,17.4,36-45
P000016,Headphones,Sony,115.66,36,Currys,West Midlands,42,Marketplace,1,28.76,11.07,36-45
P000017,Laptop,Apple,461.17,12,Currys,West Midlands,41,In-store,0,0.0,39.19,36-45
P000018,Laptop,HP,309.33,12,Amazon UK,London,52,Marketplace,1,86.39,24.78,46-55
P000019,Tablet,Apple,49.18,24,AO.com,South East,65,Online,0,0.0,11.74,56-65
P000020,Headphones,Beats,321.22,36,Argos,London,61,Online,0,0.0,31.19,56-65
P000021,Tablet,Apple,192.8,24,John Lewis,Wales,54,Marketplace,1,77.19,19.9,46-55
P000022,Charger,Anker,273.61,24,Currys,North West,31,Online,0,0.0,16.29,26-35
P000023,Charger,Belkin,282.19,12,AO.com,South East,59,Online,0,0.0,25.2,56-65
P000024,Phone,Samsung,388.66,24,John Lewis,Scotland,66,In-store,0,0.0,34.92,66+
P000025,Laptop,Lenovo,401.9,12,Currys,Wales,40,In-store,0,0.0,28.88,36-45
P000026,Laptop,Lenovo,419.03,24,Amazon UK,Wales,30,Online,0,0.0,31.91,26-35
