Policy_ID,Device_Type,Brand,Retail_Price,Plan_Duration,Vendor,Region,Customer_Age,Sales_Channel,Claim_Made,Claim_Cost,Plan_Price,Age_Band,Predicted_Claim_Frequency,Predicted_Claim_Severity,Technical_Premium
P000001,Phone,Google,449.67,36,John Lewis,South East,60,Online,0,0.0,36.06,56-65,0.1553667727128289,77.8211579175051,12.09082215441818
P000002,Laptop,Lenovo,280.22,24,Argos,West Midlands,40,Online,0,0.0,31.04,36-45,0.3685929944186983,77.8211579175051,28.684333625943598
P000003,Phone,Samsung,427.9,36,John Lewis,South East,41,In-store,0,0.0,37.98,36-45,0.2784054938859541,77.8211579175051,21.665837904799837
P000004,Charger,Apple,207.98,12,John Lewis,West Midlands,47,Online,0,0.0,19.08,46-55,0.2049753271018198,77.8211579175051,15.951417299582982
P000005,Charger,Anker,153.66,24,Currys,Scotland,29,Online,0,0.0,14.36,26-35,0.3246540039014805,77.8211579175051,25.264950506167434
P000006,TV,LG,20.0,12,Amazon UK,West Midlands,45,In-store,1,20.0,5.65,36-45,0.2431730012914101,60.9918617761148,14.83157408244867
P000007,Headphones,Bose,183.61,36,John Lewis,North West,68,Online,0,0.0,17.78,66+,0.0963641470718112,77.8211579175051,7.499169506861106
P000008,Charger,Belkin,235.56,36,John Lewis,London,54,In-store,0,0.0,19.69,46-55,0.18048809696281,77.8211579175051,14.04579269597281
P000009,Tablet,Amazon,294.74,36,Currys,West Midlands,19,Marketplace,1,58.31,25.15,18-25,0.3923051232263865,62.30992675517598,24.44450349391643
P000010,Refrigerator,Bosch,146.64,24,Currys,North West,31,Online,0,0.0,15.25,26-35,0.3487199185828392,77.8211579175051,27.13778785301465
P000011,TV,Sony,256.61,24,John Lewis,Wales,23,Online,0,0.0,20.85,18-25,0.3130945112908042,77.8211579175051,24.365377406265758
P000012,Charger,Apple,153.85,24,John Lewis,West Midlands,35,Online,1,47.18,17.98,26-35,0.326406606455336,53.40113425081257,17.43048301167354
P000013,Laptop,HP,417.14,12,AO.com,London,25,In-store,0,0.0,35.89,18-25,0.47918700698308,77.8211579175051,37.29088774244689
